title;description;url;image
University database project;This project involves the design and implementation of a database system for managing university operations using Oracle Database and PL/SQL.;https://github.com/Szymon-Stefanski/university_project;1.png
Python war game;This Python-based war game is a turn-based strategy game for two players, focusing on resource management and army development.;https://github.com/Szymon-Stefanski/python_war_game;
